rasn,prefix,as_path
910,1.2.0.0/16,"(910, 13760, 293, 10886, 27)"
912,1.2.0.0/16,"(912, 20161, 7575, 2152, 25)"
914,1.2.0.0/16,"(914, 7782, 7575, 2152, 25)"
915,1.2.0.0/16,"(915, 8100, 174, 10886, 27)"
916,1.2.0.0/16,"(916, 11232, 8220, 2152, 25)"
917,1.2.0.0/16,"(917, 42, 10886, 27)"
918,1.2.0.0/16,"(918, 3399, 2635, 2152, 25)"
919,1.2.0.0/16,"(919, 807, 29838, 293, 10886, 27)"
923,1.2.0.0/16,"(923, 835, 293, 10886, 27)"
924,1.2.0.0/16,"(924, 39351, 42, 10886, 27)"
925,1.2.0.0/16,"(925, 40702, 286, 42, 10886, 27)"
927,1.2.0.0/16,"(927, 174, 10886, 27)"
929,1.2.0.0/16,"(929, 41378, 293, 10886, 27)"
930,1.2.0.0/16,"(930, 174, 10886, 27)"
931,1.2.0.0/16,"(931, 174, 10886, 27)"
932,1.2.0.0/16,"(932, 49544, 2152, 25)"
933,1.2.0.0/16,"(933, 11260, 49544, 2152, 25)"
936,1.2.0.0/16,"(936, 3356, 10886, 27)"
939,1.2.0.0/16,"(939, 174, 10886, 27)"
940,1.2.0.0/16,"(940, 6254, 46887, 2906, 2152, 25)"
945,1.2.0.0/16,"(945, 1421, 6939, 2152, 25)"
948,1.2.0.0/16,"(948, 53667, 49544, 2152, 25)"
954,1.2.0.0/16,"(954, 174, 10886, 27)"
955,1.2.0.0/16,"(955, 9505, 2152, 25)"
961,1.2.0.0/16,"(961, 36236, 293, 10886, 27)"
963,1.2.0.0/16,"(963, 49544, 2152, 25)"
965,1.2.0.0/16,"(965, 3170, 42, 10886, 27)"
967,1.2.0.0/16,"(967, 932, 49544, 2152, 25)"
968,1.2.0.0/16,"(968, 49134, 8298, 36236, 11164, 2152, 25)"
969,1.2.0.0/16,"(969, 917, 42, 10886, 27)"
971,1.2.0.0/16,"(971, 2635, 2152, 25)"
973,1.2.0.0/16,"(973, 174, 10886, 27)"
975,1.2.0.0/16,"(975, 20205, 3856, 11164, 2152, 25)"
976,1.2.0.0/16,"(976, 21859, 2152, 25)"
978,1.2.0.0/16,"(978, 174, 10886, 27)"
979,1.2.0.0/16,"(979, 49544, 2152, 25)"
983,1.2.0.0/16,"(983, 9505, 2152, 25)"
984,1.2.0.0/16,"(984, 9505, 2152, 25)"
986,1.2.0.0/16,"(986, 7018, 3257, 10886, 27)"
988,1.2.0.0/16,"(988, 17149, 286, 42, 10886, 27)"
989,1.2.0.0/16,"(989, 3356, 10886, 27)"
991,1.2.0.0/16,"(991, 33185, 49544, 2152, 25)"
992,1.2.0.0/16,"(992, 174, 10886, 27)"
994,1.2.0.0/16,"(994, 3356, 10886, 27)"
997,1.2.0.0/16,"(997, 6939, 2152, 25)"
998,1.2.0.0/16,"(998, 8220, 2152, 25)"
999,1.2.0.0/16,"(999, 6939, 2152, 25)"
1002,1.2.0.0/16,"(1002, 293, 10886, 27)"
1003,1.2.0.0/16,"(1003, 6939, 2152, 25)"
1004,1.2.0.0/16,"(1004, 23470, 6939, 2152, 25)"
1006,1.2.0.0/16,"(1006, 398465, 714, 2152, 25)"
1008,1.2.0.0/16,"(1008, 174, 10886, 27)"
1009,1.2.0.0/16,"(1009, 7046, 701, 3257, 10886, 27)"
1010,1.2.0.0/16,"(1010, 46632, 14907, 2152, 25)"
1011,1.2.0.0/16,"(1011, 293, 10886, 27)"
1015,1.2.0.0/16,"(1015, 30456, 286, 42, 10886, 27)"
1017,1.2.0.0/16,"(1017, 286, 10886, 27)"
1018,1.2.0.0/16,"(1018, 35471, 12778, 6939, 2152, 25)"
1019,1.2.0.0/16,"(1019, 3356, 10886, 27)"
1021,1.2.0.0/16,"(1021, 7018, 3257, 10886, 27)"
1023,1.2.0.0/16,"(1023, 30600, 2906, 2152, 25)"
1024,1.2.0.0/16,"(1024, 20473, 293, 10886, 27)"
1025,1.2.0.0/16,"(1025, 4181, 11164, 2152, 25)"
1027,1.2.0.0/16,"(1027, 55140, 34927, 42, 10886, 27)"
1029,1.2.0.0/16,"(1029, 6939, 2152, 25)"
1030,1.2.0.0/16,"(1030, 3216, 714, 2152, 25)"
1031,1.2.0.0/16,"(1031, 2635, 2152, 25)"
1032,1.2.0.0/16,"(1032, 3216, 714, 2152, 25)"
1033,1.2.0.0/16,"(1033, 701, 3257, 10886, 27)"
1034,1.2.0.0/16,"(1034, 701, 3257, 10886, 27)"
1035,1.2.0.0/16,"(1035, 7018, 3257, 10886, 27)"
1037,1.2.0.0/16,"(1037, 133694, 9583, 8220, 2152, 25)"
1040,1.2.0.0/16,"(1040, 57695, 3786, 2152, 25)"
1041,1.2.0.0/16,"(1041, 7018, 3257, 10886, 27)"
1043,1.2.0.0/16,"(1043, 803, 293, 10886, 27)"
1044,1.2.0.0/16,"(1044, 22645, 6939, 2152, 25)"
1045,1.2.0.0/16,"(1045, 3356, 10886, 27)"
1050,1.2.0.0/16,"(1050, 34927, 42, 10886, 27)"
1052,1.2.0.0/16,"(1052, 20055, 2635, 2152, 25)"
1053,1.2.0.0/16,"(1053, 7018, 3257, 10886, 27)"
1054,1.2.0.0/16,"(1054, 10099, 42, 10886, 27)"
1055,1.2.0.0/16,"(1055, 11404, 293, 10886, 27)"
1057,1.2.0.0/16,"(1057, 3356, 10886, 27)"
1062,1.2.0.0/16,"(1062, 46435, 6939, 2152, 25)"
1064,1.2.0.0/16,"(1064, 149522, 6939, 2152, 25)"
1065,1.2.0.0/16,"(1065, 174, 10886, 27)"
1067,1.2.0.0/16,"(1067, 6181, 32590, 2152, 25)"
1070,1.2.0.0/16,"(1070, 7311, 7575, 2152, 25)"
1072,1.2.0.0/16,"(1072, 6461, 10886, 27)"
1073,1.2.0.0/16,"(1073, 2711, 19151, 2152, 25)"
1074,1.2.0.0/16,"(1074, 12129, 11039, 42, 10886, 27)"
1077,1.2.0.0/16,"(1077, 3356, 10886, 27)"
