asn,prefix,as_path
273253,1.2.0.0/16,"(265590, 174, 10886, 27)"
265570,1.2.0.0/16,"(265509, 174, 10886, 27)"
273770,1.2.0.0/16,"(265482, 3356, 2152, 25)"
270311,1.2.0.0/16,"(265482, 3356, 2152, 25)"
270936,1.2.0.0/16,"(265477, 14840, 6762, 3257, 10886, 27)"
266628,1.2.0.0/16,"(265477, 14840, 6762, 3257, 10886, 27)"
269624,1.2.0.0/16,"(265475, 3356, 2152, 25)"
264871,1.2.0.0/16,"(265465, 3356, 2152, 25)"
263446,1.2.0.0/16,"(265465, 3356, 2152, 25)"
263106,1.2.0.0/16,"(265465, 3356, 2152, 25)"
267524,1.2.0.0/16,"(265442, 3356, 2152, 25)"
269348,1.2.0.0/16,"(265436, 3356, 2152, 25)"
264377,1.2.0.0/16,"(265436, 3356, 2152, 25)"
263038,1.2.0.0/16,"(265436, 3356, 2152, 25)"
265263,1.2.0.0/16,"(266445, 174, 10886, 27)"
271709,1.2.0.0/16,"(265432, 265268, 14840, 6762, 3257, 10886, 27)"
271545,1.2.0.0/16,"(265432, 265268, 14840, 6762, 3257, 10886, 27)"
265898,1.2.0.0/16,"(265417, 3356, 2152, 25)"
266320,1.2.0.0/16,"(265379, 1031, 174, 10886, 27)"
269631,1.2.0.0/16,"(270457, 3356, 2152, 25)"
270719,1.2.0.0/16,"(265319, 52468, 174, 10886, 27)"
267268,1.2.0.0/16,"(265282, 52468, 174, 10886, 27)"
15082,1.2.0.0/16,"(398704, 174, 10886, 27)"
270769,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
270265,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
268942,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
268099,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
265983,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
264599,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
263571,1.2.0.0/16,"(266240, 3356, 2152, 25)"
263256,1.2.0.0/16,"(265269, 6762, 3257, 10886, 27)"
263088,1.2.0.0/16,"(265264, 28283, 6762, 3257, 10886, 27)"
264946,1.2.0.0/16,"(265230, 262476, 3356, 2152, 25)"
266450,1.2.0.0/16,"(265215, 3356, 2152, 25)"
267885,1.2.0.0/16,"(265207, 3356, 2152, 25)"
271016,1.2.0.0/16,"(269194, 3356, 2152, 25)"
270655,1.2.0.0/16,"(265198, 6762, 3257, 10886, 27)"
264576,1.2.0.0/16,"(265192, 269194, 3356, 2152, 25)"
52575,1.2.0.0/16,"(265185, 3356, 2152, 25)"
271695,1.2.0.0/16,"(265175, 10429, 3356, 2152, 25)"
271114,1.2.0.0/16,"(265482, 3356, 2152, 25)"
267080,1.2.0.0/16,"(268314, 6057, 174, 10886, 27)"
268103,1.2.0.0/16,"(265080, 61568, 174, 10886, 27)"
266285,1.2.0.0/16,"(265080, 61568, 174, 10886, 27)"
266000,1.2.0.0/16,"(265080, 61568, 174, 10886, 27)"
274615,1.2.0.0/16,"(265066, 3356, 2152, 25)"
269361,1.2.0.0/16,"(268925, 12956, 3257, 10886, 27)"
267586,1.2.0.0/16,"(268925, 12956, 3257, 10886, 27)"
266941,1.2.0.0/16,"(266247, 3356, 2152, 25)"
272605,1.2.0.0/16,"(265043, 1031, 174, 10886, 27)"
269623,1.2.0.0/16,"(265038, 3356, 2152, 25)"
267566,1.2.0.0/16,"(265038, 3356, 2152, 25)"
267161,1.2.0.0/16,"(265038, 3356, 2152, 25)"
266120,1.2.0.0/16,"(265038, 3356, 2152, 25)"
274796,1.2.0.0/16,"(265015, 53180, 3356, 2152, 25)"
266579,1.2.0.0/16,"(265015, 53180, 3356, 2152, 25)"
266243,1.2.0.0/16,"(269646, 61568, 174, 10886, 27)"
271708,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
271329,1.2.0.0/16,"(269194, 3356, 2152, 25)"
271241,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
271113,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
269581,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
268456,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
268211,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
266235,1.2.0.0/16,"(265066, 3356, 2152, 25)"
265486,1.2.0.0/16,"(265442, 3356, 2152, 25)"
271473,1.2.0.0/16,"(264984, 3356, 2152, 25)"
270744,1.2.0.0/16,"(264984, 3356, 2152, 25)"
269653,1.2.0.0/16,"(264984, 3356, 2152, 25)"
271542,1.2.0.0/16,"(269194, 3356, 2152, 25)"
271087,1.2.0.0/16,"(265189, 53062, 6762, 3257, 10886, 27)"
270579,1.2.0.0/16,"(264936, 37468, 174, 10886, 27)"
263639,1.2.0.0/16,"(264899, 4230, 6762, 3257, 10886, 27)"
